Regulon	AR_Correlation	pval	
SMARCB1	0.453773209	0.077485188	
SIRT6	0.451765599	0.078971599	
CRKL	0.428722806	0.097532524	
E2F6	0.426604684	0.099381243	
USF2	0.42215978	0.103341182	
TFE3	0.421854238	0.103617412	
GP1BB	0.421199812	0.104210809	
YBX1	0.418566782	0.106622499	
FBXO31	0.417964876	0.107179271	
FOXO3	0.405909026	0.118765125	
HIST1H4I	0.40455152	0.120122111	
CLIC1	0.400925544	0.123799427	
EZH2	0.397815004	0.127015532	
HIST1H3B	0.395952917	0.128968177	
PITX3	0.395122056	0.129846086	
ZBTB17	0.393131851	0.131965704	
GTF2F1	0.38440432	0.141541536	
TGIF1	0.383382917	0.142692344	
KAT2A	0.383046666	0.143072587	
E2F4	0.382862198	0.143281482	
MAZ	0.381342088	0.145010788	
SP4	0.36315018	0.166813616	
NR4A1	0.361848821	0.168452523	
CTBP2	0.360609755	0.170022913	
GTF2B	0.358929989	0.172167351	
PAX2	0.35325208	0.179548557	
HIST1H3D	0.340740092	0.196542285	
NR5A1	0.329793052	0.212240594	
ARVCF	0.308404414	0.245172886	
NBPF1	0.30799019	0.245840342	
HOXA5	0.304017426	0.252299225	
HSPA1B	0.302758599	0.254367506	
HIST1H2BD	0.29847826	0.261478299	
SDF2L1	0.297003486	0.263956252	
HIST1H2AD	0.288288086	0.278892463	
YY1	0.28792765	0.279520929	
TFAP2A	0.287772821	0.279791156	
MXI1	0.285024885	0.284613397	
SIM2	0.271930217	0.308272659	
ZZZ3	0.26955674	0.312680941	
FANK1	0.267981344	0.315627179	
HNF1B	0.25651904	0.337547484	
SIX1	0.248265132	0.353855277	
FOXA2	0.248155764	0.35407428	
ERF	0.232541328	0.386115469	
AIF1L	0.232351616	0.386514135	
GMPR2	0.231814527	0.387644001	
FOSB	0.227906313	0.395919302	
SUZ12	0.223384966	0.405609867	
CTCFL	0.222611237	0.407280693	
NR4A2	0.220388724	0.412100302	
ANKRD30BL	0.212114422	0.430304826	
PPIL2	0.207413101	0.44082972	
MTRNR2L1	0.195519181	0.468031113	
MRPL40	0.193374918	0.473021093	
ARID3A	0.192470054	0.475134597	
E2F2	0.188152784	0.485281504	
NKX2-1	0.187510148	0.486800743	
BRF1	0.182473367	0.49878659	
CREM	0.179339411	0.50631392	
BCR	0.176300824	0.513662451	
TBP	0.175643358	0.515258926	
PRAME	0.172343491	0.523306132	
POLR3A	0.169688179	0.529822774	
PPARA	0.168106079	0.533722872	
MAFK	0.161048269	0.551276423	
NFYB	0.158691267	0.557194075	
DLX2	0.155088654	0.566291713	
PI4KA	0.152021603	0.574086371	
FOXM1	0.151885878	0.574432343	
ATOH1	0.143749015	0.59533174	
KLF5	0.14246523	0.59865702	
GNB1L	0.141225369	0.601875607	
BCL3	0.138471539	0.609048983	
KLF15	0.135968452	0.615598323	
THRB	0.131680812	0.626880183	
BRF2	0.130119362	0.631008248	
TAF1	0.12551433	0.64324206	
HAND2	0.123585281	0.648392669	
HIF3A	0.11183429	0.680084464	
XBP1	0.110495072	0.683729524	
PITX1	0.110450133	0.683851953	
ETV4	0.109652446	0.686026337	
PAX6	0.109312025	0.68695498	
GNAZ	0.108695597	0.688637619	
ZNF143	0.107125524	0.692929557	
RFX1	0.084867971	0.754661489	
CRX	0.081931481	0.76291986	
FOSL1	0.07803362	0.773918916	
MYBL2	0.077860926	0.774407177	
CDC45	0.066039063	0.808010932	
HEY1	0.055253805	0.838946625	
SETDB1	0.048008859	0.859855162	
ASCL1	0.042901257	0.874648883	
CCDC116	0.042782539	0.874993219	
BACH1	0.041931004	0.877463684	
MYF5	0.027758437	0.918720436	
CBX5	0.022463975	0.934188198	
HESX1	0.01992764	0.941606247	
NUP214	0.012932336	0.962087091	
SOX4	0.012166094	0.964332063	
CSNK2B	0.007465831	0.978108017	
RAB36	-0.000376021	0.998897276	
HNF1A	-0.001422681	0.995827839	
HOXC13	-0.003880224	0.988621132	
HIST1H2AB	-0.01380075	0.959543094	
MTF1	-0.02209197	0.935275901	
TCF3	-0.024899535	0.927069655	
NFE2	-0.026921755	0.92116312	
CCL20	-0.029178319	0.914576675	
NR1I2	-0.029317191	0.914171503	
IRF6	-0.035337696	0.896626404	
POU5F1	-0.038771607	0.886638791	
CEBPZ	-0.038972956	0.886053647	
BARX2	-0.04369647	0.872342938	
SP1	-0.048686788	0.85789478	
FOXC1	-0.063813575	0.814374079	
SOX13	-0.067474926	0.803911444	
NEUROD1	-0.073009957	0.788154195	
KLF9	-0.078575144	0.772388369	
PMF1	-0.079655992	0.769335852	
HOXD13	-0.082547056	0.761186641	
OLIG2	-0.083189896	0.759377793	
HES1	-0.086552098	0.74993633	
USF1	-0.097879135	0.718379558	
GATA1	-0.104755542	0.699424694	
PROP1	-0.111367855	0.681353251	
HOXC8	-0.118734382	0.661410476	
FOXN1	-0.119611781	0.659049021	
SOX1	-0.120088199	0.657768041	
PLEK	-0.120124209	0.657671254	
EVX1	-0.120872757	0.655660486	
ZNF274	-0.121127674	0.654976226	
GATA6	-0.126582865	0.640395565	
HMGN3	-0.128456069	0.635416833	
CHD2	-0.131184421	0.628191392	
MEF2D	-0.138056606	0.610132753	
ONECUT1	-0.139345402	0.606769022	
NEUROG3	-0.143908682	0.594918692	
TBX3	-0.148715395	0.582538948	
ZBTB33	-0.149679463	0.580068912	
RARG	-0.150861466	0.57704647	
ANG	-0.155312918	0.565723541	
CIC	-0.158253577	0.558295985	
ATF6	-0.160248012	0.553282521	
TCF12	-0.167919159	0.534184505	
POU4F3	-0.168756251	0.532118549	
NKRF	-0.175977758	0.514446641	
FIBCD1	-0.176384461	0.513459526	
CCNT2	-0.188753763	0.48386281	
POU2F1	-0.192392182	0.4753167	
CDX2	-0.193952393	0.47167468	
SOX2	-0.197321599	0.463856784	
NR5A2	-0.205979586	0.444064777	
CEBPB	-0.209678183	0.435742595	
HNF4A	-0.209689428	0.435717415	
FOXL2	-0.21519644	0.423476109	
GATA4	-0.217624441	0.418136417	
NR6A1	-0.2190159	0.415092256	
JUN	-0.222532029	0.407451945	
TEF	-0.225201731	0.401700992	
KLF4	-0.225204283	0.401695515	
ELK4	-0.231324796	0.388675798	
TP53	-0.23399135	0.383075715	
FAM78A	-0.238094983	0.374543987	
FOXC2	-0.239040355	0.372593404	
TAL1	-0.244754725	0.360922543	
NR1I3	-0.248457815	0.353469624	
PAX8	-0.250192008	0.350009297	
MYOG	-0.253546168	0.343370991	
PGR	-0.254302717	0.341883625	
PAX3	-0.256850113	0.336902459	
MYB	-0.261765665	0.327408574	
NFIX	-0.266684248	0.318065055	
CTCF	-0.266884335	0.317688282	
TAF7	-0.268831429	0.314035381	
FOXO4	-0.275180759	0.30229498	
SMAD4	-0.275254256	0.302160616	
BCLAF1	-0.282837143	0.288488031	
PDX1	-0.29601914	0.265618149	
THAP1	-0.296993294	0.263973428	
KLF6	-0.307830974	0.246097195	
ATF1	-0.314866231	0.234906895	
CLOCK	-0.325506053	0.218600995	
NR0B1	-0.327315323	0.215902026	
TBX2	-0.328240686	0.214529891	
IRF7	-0.333806232	0.206395136	
LHX2	-0.335822627	0.203497703	
HAND1	-0.338119232	0.200229798	
DLX5	-0.344814398	0.190897989	
RBPJ	-0.349963823	0.183917263	
HBP1	-0.352180856	0.180964168	
MYCN	-0.352729044	0.180238828	
ID2	-0.353220401	0.179590315	
CDX1	-0.360125173	0.170639711	
NANOG	-0.362488617	0.16764544	
RORA	-0.363789374	0.166012537	
RELA	-0.365479247	0.163907062	
EN1	-0.37295912	0.154802345	
HDAC2	-0.373177481	0.154541787	
BDP1	-0.374185393	0.153342934	
LEF1	-0.376005275	0.15119422	
IRF5	-0.376884607	0.150163335	
POU3F1	-0.381641583	0.144668959	
MAPK1	-0.384447764	0.141492728	
PPARD	-0.391551923	0.133665217	
RARA	-0.395362854	0.129591231	
TSC22D3	-0.396929152	0.127941902	
KLF1	-0.397596247	0.127243863	
STAT3	-0.399433893	0.125334584	
HOXA9	-0.400269274	0.124473224	
E2F3	-0.400802814	0.123925242	
EGR3	-0.40118361	0.123535162	
JUNB	-0.401588498	0.123121336	
SOX10	-0.404212453	0.120462723	
KLF2	-0.412712694	0.112124554	
SKI	-0.413421848	0.111447688	
ERG	-0.414979357	0.109971144	
FOXO1	-0.418606324	0.106585993	
NFATC1	-0.428481913	0.097741539	
BATF	-0.438360552	0.089427893	
SMAD3	-0.454247977	0.077136652	
ETV6	-0.457162156	0.075022085	
GLI2	-0.463271675	0.070725736	
ARNT	-0.464230297	0.070068221	
ID1	-0.470567805	0.065832816	
REST	-0.472173029	0.064790419	
GLI1	-0.47364898	0.063842674	
ELK3	-0.477942585	0.061143394	
XRCC4	-0.488892757	0.054639643	
BHLHE40	-0.490036181	0.053991306	
POU2F2	-0.49258565	0.052566247	
CREB1	-0.497418256	0.049941783	
PAX7	-0.498681096	0.04927232	
FLI1	-0.499231066	0.048982865	
RELB	-0.502525511	0.04727538	
PPARGC1A	-0.503081282	0.046991762	
SP3	-0.504656594	0.046194756	
GFI1	-0.505980772	0.045532651	
FOSL2	-0.506170899	0.04543817	
ESR2	-0.506999227	0.045028255	
PITX2	-0.514017311	0.041665299	
PDE4DIP	-0.51697386	0.040306479	
SMAD5	-0.517949921	0.039865285	
STAT2	-0.520378863	0.03878314	
MSX1	-0.52215158	0.038007435	
SOX17	-0.52243508	0.037884474	
MEIS2	-0.524803535	0.036868906	
EPAS1	-0.525859813	0.036422673	
HOXA10	-0.526653614	0.03609002	
STAT5B	-0.527556527	0.035714439	
BCL6	-0.529443668	0.034939004	
SMAD1	-0.531818462	0.03398138	
STAT5A	-0.536678181	0.03208385	
MEF2A	-0.54377375	0.029459244	
IRF1	-0.546106235	0.02863328	
ZEB2	-0.547388482	0.028186815	
MEF2C	-0.550079412	0.027267166	
IFI16	-0.564378612	0.022759181	
TWIST1	-0.565427123	0.022452793	
STAT1	-0.56720733	0.021939883	
MSX2	-0.57032443	0.021063598	
HLX	-0.573597517	0.020172805	
SNAI2	-0.573807379	0.0201167	
NCOA3	-0.580252214	0.018451681	
FOS	-0.584224984	0.017479892	
KLF10	-0.58797513	0.016599494	
EGR2	-0.58801676	0.016589918	
RUNX1	-0.58898654	0.016368066	
NR2F2	-0.591198127	0.015870768	
TCF7L1	-0.59615331	0.014799278	
BMP2	-0.600667203	0.013873166	
RFX5	-0.602555037	0.013499563	
MAF	-0.607056161	0.012640532	
IRF3	-0.609559999	0.012181593	
SPI1	-0.612444383	0.011669224	
IRF2	-0.612625495	0.011637627	
MEIS1	-0.613733788	0.011445732	
IRF8	-0.615876185	0.011081843	
CEBPE	-0.618320491	0.01067786	
STAT6	-0.619418648	0.010500181	
ELF1	-0.621549136	0.010162122	
IRF4	-0.621556202	0.010161015	
GATA3	-0.622661038	0.009989131	
EGR1	-0.623209061	0.009904728	
PRDM1	-0.623862169	0.009804876	
SETBP1	-0.624946168	0.009640902	
FOXP3	-0.626911364	0.009349157	
PPARG	-0.627678456	0.009237189	
SATB1	-0.630144717	0.008884366	
BCL11A	-0.632211204	0.00859702	
NFKB1	-0.63241869	0.00856858	
MITF	-0.632883553	0.008505133	
HOXA11	-0.634634365	0.008269502	
STAT4	-0.637681151	0.007871811	
ID3	-0.638110445	0.007817017	
VDR	-0.638255672	0.007798549	
RARB	-0.639630676	0.007625408	
SP100	-0.643697444	0.00713111	
PROX1	-0.647859054	0.006651999	
WT1	-0.649649695	0.006453905	
HIF1A	-0.654713186	0.005919057	
PAX5	-0.655452556	0.005844011	
REL	-0.65933628	0.005462186	
TBX5	-0.663632345	0.005063322	
NR2F1	-0.663978167	0.005032258	
ETS1	-0.664176867	0.005014478	
HHEX	-0.666158628	0.004839884	
ZEB1	-0.670380802	0.00448413	
ETS2	-0.676063264	0.004038758	
MSC	-0.679917662	0.003757434	
RUNX3	-0.680738562	0.003699606	
ATF2	-0.682006601	0.003611689	
PBX1	-0.684659537	0.003433187	
POU1F1	-0.687253536	0.003265591	
TCF7L2	-0.693114125	0.002911154	
ACTB	-0.702500358	0.002408698	
NFAT5	-0.703237854	0.002372407	
AHR	-0.704120669	0.00232955	
NFATC4	-0.709418545	0.002085336	
RUNX2	-0.729622357	0.001336606	
TCF4	-0.730861847	0.001299023	
POU3F2	-0.741804993	0.001003125	
ESR1	-0.746692784	0.00089013	
EBF1	-0.754727681	0.000727152	
SMAD2	-0.766143589	0.000538408	
NR3C1	-0.796288223	0.000223469	
GLI3	-0.817788086	0.000108816	
			
			on prior rnai screens in 42d
